ID,Cod_via,Nombre,Responsable,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_7,Cat_8,Cat_9,Sector,Admon,Eje_adicio,Eje_adic_2,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,Latitud,Longitud,Departamento,gcd_departamento
56,4507,FLANDES,ConcesiOn ANI,11700,13900,15600,19900,33300,42700,48600,0,0,El Espinal - Girardot,ConcesiOn AutovIa Neiva - Girardot,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses  2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.192173107,-74.8610864989999,Tolima,73
57,5008B,EL KORAN,ConcesiOn ANI,12800,18000,25400,53100,66000,78300,0,0,0,El KorAn - Guaduas,CONCESION HELIOS,9100,8800,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,,,,5.497131704,-74.6137295909999,Cundinamarca,25
58,40CN01,PUESTO DE CONTROL BOQUERON II,ConcesiOn ANI,11900,35300,17800,47100,52900,58800,70500,0,0,El Portal - El Antojo,CONCESION COVIANDES S.A.,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 eje pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 Ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.454170743,-74.05008445,Cundinamarca,25
"59,5007,HONDA,ConcesiOn ANI,10700,11400,11900,12400,26500,36200,39200,0,0,Fresno - Honda,Concesionaria Alternativas Viales SAS.,0,0,AutomOviles y camperos,""Buses y busetas, camiones pequenos hasta 4.5 toneladas"",Camiones y buses 2 ejes grandes,Camiones de 3 y 4 ejes,Camiones de 5 ejes,,,,,5.201507469,-74.8203445129999,Tolima,73"
60,X7,LA TEBAIDA,Departamento,11200,13500,13500,15600,34500,42400,44800,0,0,Funza - Cota,CONCESION DEVISAB,0,0,AutomOviles y camperos,CategorIa II Buses y Busetas,CategorIa III Camiones y Buses 2 ejes pequenos,CategorIa IV Camiones y Buses 2 ejes grandes,CategorIa V Camiones de 3 y 4 ejes,CategorIa VI Volquetas y Camiones de 5 ejes,CategorIa VII 6 ejes Volquetas y Camiones,,,4.744624343,-74.1714772429999,Cundinamarca,25
61,X8,SAN MIGUEL,Departamento,0,0,0,0,0,0,0,0,0,FusagasugA - SibatE,,0,0,,,,,,,,,,4.444164659,-74.301889391,Cundinamarca,25
62,7006,GAMARRA,INVIAS,7900,8900,18800,23800,27300,0,0,0,0,Gamarra - Aguachica,,8400,8100,,,,,,,,,,8.329119646,-73.6920491409999,Cesar,20
63,4505,LOS CAUCHOS,ConcesiOn ANI,8300,9000,19200,24400,27400,0,0,0,0,GarzOn - Neiva,ConcesiOn Aliadas para El Progreso,8700,8400,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,2.785583797,-75.301936087,Huila,41
64,4005,CHINAUTA,ConcesiOn ANI,10300,11600,24800,40300,46300,0,0,0,0,Girardot - Silvania - BogotA (Bosa),ConcesiOn VIa 40 Express,9700,9400,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV,CategorIa V 5 Ejes,,,,,4.269378399,-74.5001070879999,Cundinamarca,25
65,4005,CHUSACA,ConcesiOn ANI,10300,11600,24800,40300,46300,0,0,0,0,Girardot - Silvania - BogotA (Bosa),ConcesiOn  VIa 40 Express,9700,9400,AutomOviles y camperos,Camiones y Buses  dos  ejes pequenos.,Camiones y Buses  dos  ejes Grandes.,CategorIa IV,CategorIa V Cinco ejes.,,,,,4.537533598,-74.271821376,Cundinamarca,25
66,X8,PUBENZA,Departamento,8500,9600,10900,14400,21000,28000,32200,0,0,Girardot - Tocaima,CONCESION DEVISAB,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.40331639,-74.731464341,Cundinamarca,25
67,X9,CABILDO,Departamento,9200,10200,11100,15900,26100,34900,39000,0,0,Girardota - Hatillo,,0,0,AutomOviles y camperos,Camiones y Buses 2 Ejes pequenos,Camiones y Buses 2 Ejes grandes,3 y 4 ejes,5 ejes,6 ejes,VII,,,6.395796515,-75.423661435,Antioquia, 5
68,5601,LAS PALMAS,ConcesiOn ANI,8700,10500,10500,10500,23300,31400,35100,0,0,Glorieta Las Palmas - La UniOn,ConcesiOn TUnel AburrA - Oriente S.A.,0,0,AutomOviles y camperos,Buses,Camiones pequenos de 2 ejes,Camiones grandes de 2 ejes,Camiones de 3 y 4 ejes,CategorIa VI,CategorIa VII,,,6.150673018,-75.531257389,Antioquia, 5
69,X10,GUAYABAL,Departamento,12400,16800,14100,19600,35300,45700,55000,0,0,Guayabal de SIquima - Cambao,CONCESION PANAMERICANA,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.883413076,-74.4831853999999,Cundinamarca,25
70,5008,BICENTENARIO,INVIAS,9000,11600,27200,32900,38300,0,0,0,0,Honda - Villeta,INVIAS,8400,8100,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 y 6 ejes,,,,,5.203102936,-74.6846173499999,Cundinamarca,25
"71,4305,ALVARADO,ConcesiOn ANI,10700,11400,11900,12400,26500,36200,39200,0,0,IbaguE - Mariquita,Concesionaria Alternativas Viales  S.A.S,0,0,AutomOviles y camperos,""Buses y busetas, camiones pequenos hasta 4.5 toneladas"",Camiones y buses 2 ejes grandes,Camiones de 3 y 4 ejes,Camiones de 5 ejes,Camiones de 6 ejes,,,,4.507598856,-74.991632439,Tolima,73"
72,4404,GUALANDAY,ConcesiOn ANI,9800,11600,27600,37100,40900,0,0,0,0,Ibague (Puente Blanco) - Cruce Ruta 45 (Espinal),Concesionaria San Rafael S.A.,9500,9000,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,,,,,4.300428797,-75.050032912,Tolima,73
73,29RSC,TARAPACA II,ConcesiOn ANI,11500,15200,15200,15200,38100,50400,56300,0,0,IntersecciOn JazmIn - EstaciOn de  Servicio ChinchinA,ConcesiOn Autopistas del CafE,0,0,AutomOviles y camperos,CategorIa II 2 ejes dobles pequenos,CategorIa III 2 ejes Busetas y Buses,CategorIa IV 2 ejes grandes Dobles Camiones,CategorIa V 3 y 4 ejes,CategorIa VI 5 Ejes,CategorIa VI 6 Ejes,,,4.950098818,-75.6186822159999,Risaralda,66
74,45A08,RIONEGRO,Departamento,7200,8200,19600,26000,29800,0,0,0,0,La cemento - Rionegro,DEPARTAMENTO,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 ejes,,,,,7.243267526,-73.149403777,Santander,68
75,2508,SUPIA,ConcesiOn ANI,8300,9000,19200,24400,27400,0,0,0,0,La Felisa - La Pintada,ConcesiOn PacIfico Tres,8700,8400,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,,,,,5.391597876,-75.599995129,Caldas,17
"76,6003,AMAGA,ConcesiOn ANI,8300,9000,19200,24400,27400,0,0,0,0,La Mansa - Primavera,ConcesiOn Vial del PacIfico,8700,8400,""AutomOviles, camperos, pick up, camioneta"",Camiones y Buses 2 Ejes,Camiones y Buses 2 ejes grandes,3 y 4 ejes,CategorIa V,,,,,6.046953761,-75.659877096,Antioquia, 5"
77,4515,PAILITAS,INVIAS,9400,10300,21400,27400,31200,0,0,0,0,La Mata - San Roque,INVIAS,9500,9300,AutomOviles y camperos,Camiones y buses  ejes,3 Ejes,4 Ejes,5 Ejes,,,,,8.85280385399999,-73.669722163,Cesar,20
78,4702,SAN PEDRO,Departamento,10500,11700,13500,18200,39200,51000,58900,0,0,La Mesa - Anapoima,CONCESION DEVISAB,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.593993102,-74.4864741699999,Cundinamarca,25
79,X11,MONDOnEDO,Departamento,11200,13500,13500,15600,44800,61600,70300,0,0,La Mesa - Mosquera,CONCESION DEVISAB,0,0,AutomOviles y camperos,CategorIa II Buses y Busetas,CategorIa III Camiones y Buses 2 ejes pequenos,CategorIa IV Camiones y Buses 2 ejes grandes,CategorIa V 3 y 4 ejes Volquetas y Camiones,CategorIa VI 5 ejes Volquetas y Camiones,CategorIa VII 6 ejes Volquetas y Camiones,,,4.638348462,-74.294084448,Cundinamarca,25
80,4002,COROZAL,ConcesiOn ANI,10400,12600,12600,12600,30700,38400,44600,0,0,La Paila - Club Campestre,AUTOPISTAS DEL CAFE,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,6 Ejes,CategorIa VII,,,4.407960397,-75.899870737,Valle del Cauca,76
81,25B01,LA PINTADA,ConcesiOn ANI,8300,9000,19200,24400,27400,0,0,0,0,La Pintada - Penalisa,ConcesiOn Pacifico Tres S.A.S.,8700,8400,AutomOviles y camperos,Camiones y Buses 2 Ejes,3 ejes,4 ejes,5 ejes,,,,,5.749465359,-75.627285959,Antioquia, 5
82,2509,VERSALLES (PRIMAVERA),ConcesiOn ANI,8300,9000,19200,24400,27400,0,0,0,0,La Pintada - Primavera,CONCESION LA PINTADA S.A.S. (ODINSA),8700,8400,AutomOviles y camperos,CategorIa II Camiones y Buses 2 Ejes,CategorIa III - 3 ejes,CategorIa IV - 4 ejes,CategorIa V - 5 ejes,,,,,5.968901178,-75.594072358,Antioquia, 5
83,2902,TARAPACA I,ConcesiOn ANI,11500,15200,15200,15200,38100,50400,56300,0,0,La Romelia - RIo Campo Alegre,CONCESION AUTOPISTAS DEL CAFE,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.939047486,-75.616601938,Caldas,17
84,2506,CERRITOS II,ConcesiOn ANI,12000,13800,34000,44600,51000,0,0,0,0,La Victoria - Cartago - Cerritos,Concesionaria de Occidente,15200,15000,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,,,,,4.793408209,-75.859962863,Risaralda,66
85,2507,ACAPULCO,ConcesiOn ANI,11400,14100,14100,14100,33800,42400,48900,0,0,La Virginia - Remolinos,CONCESION PACIFICO TRES S.A.S  (ODINSA),0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV  3 y 4 ejes,CategorIa V 5 Ejes,,,,,4.999048816,-75.858869306,Caldas,17
86,X12,VARIANTE LAS PALMAS,Departamento,0,0,0,0,0,0,0,0,0,Las Palmas - Aeropuerto,,0,0,,,,,,,,,,6.170653887,-75.4788907979999,Antioquia, 5
87,6602,LEBRIJA,Departamento,7200,8200,19600,26000,29800,0,0,0,0,Lebrija - Palenque,DEPARTAMENTO,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes Grandes,3 y 4 ejes,5 ejes,,,,,7.103127117,-73.1886115979999,Santander,68
88,5008A,EL CORZO,ConcesiOn ANI,8000,12000,10400,13900,23600,31900,34500,0,0,Los Alpes - Madrid - BogotA (Rio BogotA),CONCESION CCFC S.A,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.748678791,-74.291165132,Cundinamarca,25
89,5008A,RIO BOGOTA,ConcesiOn ANI,8000,12000,10400,13900,23600,31900,34500,0,0,Los Alpes - Madrid - BogotA (Rio BogotA),CONCESION CCFC S.A,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,6 Ejes,,,,4.698590601,-74.179429408,Cundinamarca,25
90,2511,LOS LLANOS,INVIAS,8500,9300,19500,24800,27900,0,0,0,0,Los Llanos - TarazA,INVIAS,8400,8100,,,,,,,,,,6.830502481,-75.4681403959999,Antioquia, 5
91,X13,LA ESTRELLA,Departamento,6100,7100,0,22500,25300,0,0,0,0,Manizales - Neira,,0,0,,,,,,,,,,5.12551851,-75.5052803319999,Caldas,17
92,2510,NIQUIA,Departamento,2500,2500,3200,3400,3400,3400,3400,0,0,Medellìn - Hoyo Rico,ConcesiOn Hatovial S.A.S,0,0,,,,,,,,,,6.34510075,-75.5265955069999,Antioquia, 5
93,2510,PANDEQUESO,Departamento,7800,8600,18200,23300,26400,0,8100,0,0,Medellìn - Hoyo Rico,CONCESION  HATOVIAL S.A.,0,7800,AutomOviles y camperos,Camiones y Buses 2 Ejes pequenos,Camiones y Buses 2 Ejes grandes,3 y 4 ejes,5 ejes,,VII,,,6.477997756,-75.378610154,Antioquia, 5
94,2510,TRAPICHE,Departamento,9200,10200,11100,15700,26500,34900,39000,0,0,Medellìn - Hoyo Rico,ConcesiOn Hatovial S.A.S,0,0,AutomOviles y camperos,Camiones y Buses 2 Ejes pequenos,Camiones y Buses 2 Ejes grandes,3 y 4 ejes,5 ejes,6 ejes,VII,,,6.399637273,-75.4330162769999,Antioquia, 5
95,X14,PAJARITO,Departamento,6000,6800,0,18800,21600,0,0,0,0,MedellIn - San Pedro,,0,0,,,,,,,,,,6.33180205,-75.5993686359999,Antioquia, 5
"96,6004,GUARNE,ConcesiOn ANI,12000,20900,16700,20900,41600,59300,59300,0,0,MedellIn - Santuario,ConcesiOn Devimed,0,0,""AutomOviles, camperos y camionetas"",Buses,Camiones pequenos de 2 ejes,Camiones grandes de 2 ejes,Camiones de 3 y 4 ejes,Camiones de 5 ejes,Camiones de 6 ejes,,,6.327897805,-75.5156750449999,Antioquia, 5"
97,2302,EL TORO,INVIAS,8300,9000,19200,24400,27400,0,0,0,0,Mediacanoa - Ansermanuevo,INVIAS,8400,8100,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,4.665424977,-76.0495324479999,Valle del Cauca,76
98,2302,RIO FRIO,INVIAS,8300,9000,19200,24400,27400,0,0,0,0,Mediacanoa - Ansermanuevo,INVIAS,8400,8100,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,4.149107168,-76.2796561899999,Valle del Cauca,76
99,2503,EL BORDO,INVIAS,8500,9300,19500,24800,27900,0,0,0,0,Mojarras - PopayAn,INVIAS,8400,8100,AutomOviles y camperos,CategorIa II Camiones y buses 2 ejes pequenos,CategorIa III Camiones y buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 ejes,,,,,2.18894946,-76.851164685,Cauca,19
100,2103,LOS GARZONES 1,ConcesiOn ANI,4500,12000,18600,23600,27100,0,0,0,0,MonterIa - CeretE,ConcesiOn Autopistas de la Sabana COrdoba - Sucre,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,Camiones y Buses 2 ejes Grandes,Camiones y Buses 2 ejes Grandes,,,,,8.842209915,-75.8268463379999,COrdoba,23
101,2103,LOS GARZONES 2,ConcesiOn ANI,4500,12000,18600,23600,27100,0,0,0,0,MonterIa - CeretE,ConcesiOn Autopistas de la Sabana COrdoba - Sucre,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,Camiones y Buses 2 ejes Grandes,Camiones y Buses 2 ejes Grandes,,,,,8.827783,-75.836760999,COrdoba,23
"102,3306,SAN CARLOS,ConcesiOn ANI,12300,18200,18200,19500,19500,28300,28700,0,0,Monteria - San Carlos,ConseciOn Ruta al Mar,0,0,""AutomOviles, camperos y camionetas"",Buses,Camiones Grandes de 2 Ejes,Camiones de 3 Ejes,Camiones de  Ejes,Camiones de 5 ejes,Camiones de Ejes,,,8.772659788,-75.7423831539999,COrdoba,23"
103,4506,EL PATA,ConcesiOn ANI,11700,14100,15800,20200,34400,44200,50100,0,0,Neiva - Natagaima,ConcesiOn AutovIa Neiva – Girardot,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,6 Ejes,CategorIa VII,,,3.393809788,-75.2037334789999,Huila,41
104,4506,NEIVA,ConcesiOn ANI,11700,13900,15600,19900,33300,42700,48600,0,0,Neiva - Natagaima,ConcesiOn AutovIa Neiva – Girardot,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,6 Ejes,CAT VII,,,2.97779795,-75.307226317,Huila,41
105,2516,SABANAGRANDE,ConcesiOn ANI,8500,9200,20200,26400,30500,0,0,0,0,Palmar de Varela - Barranquilla,Consorcio Ruta Caribe,8700,8400,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,,,,,10.7995816369999,-74.75900513,AtlAntico, 8
106,2505B,ROZO,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,Palmaseca - El Cerrito,INVIAS,10000,19800,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,3.643852209,-76.3811564429999,Valle del Cauca,76
107,5505,LOS ACACIOS,ConcesiOn ANI,6100,8700,19500,25100,28500,0,0,0,0,Pamplona - CUcuta,CONCESION UNION  VIAL RIO PAMPLONITA,8800,8500,AutomOviles y camperos,Camiones y buses 2 ejes pequenos,Camiones y buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,7.72138208,-72.571317006,Norte de Santander,54
108,23VL02,PASO DE LA TORRE,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,Paso de La Torre - Siberia (Variante Yumbo),INVIAS,10000,19800,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,,,,,3.627598229,-76.457670289,Valle del Cauca,76
109,4518,TUCURINCA,ConcesiOn ANI,8500,9400,21900,28800,33400,0,0,0,0,Paso Nacional por Aracataca - Ye de CiEnaga,ConcesiOn (Yuma),10300,9800,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 Ejes,5 Ejes,,,,,10.608947214,-74.1684537969999,Magdalena,47
110,6513,LA NEVERA,INVIAS,7500,8100,17200,21800,24500,0,0,0,0,Paz de Ariporo - Yopal,INVIAS,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,CategorIa V 5 Ejes,,,,,5.524910589,-72.2061382659999,Casanare,85
111,X15,LOS SANTOS,Departamento,0,0,0,0,0,0,0,0,0,Piedecuesta - Los Santos,ConcesiOn CONSTRUVICOL S.A,0,0,,,,,,,,,,6.917377914,-73.034207319,Santander,68
112,4504,ALTAMIRA,ConcesiOn ANI,8500,9300,19500,24800,27900,0,0,0,0,Pitalito - GarzOn,ConcesiOn Aliadas para El Progreso,8700,8400,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,2.142914046,-75.700592743,Huila,41
113,2514,CARIMAGUA,INVIAS,12000,17400,17400,17400,31600,50200,57900,0,0,Planeta Rica - La Ye,INVIAS,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,6 Ejes,7 Ejes,,,8.604856112,-75.484821096,COrdoba,23
