ID,Cod_via,Nombre,Responsable,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_7,Cat_8,Cat_9,Sector,Admon,Eje_adicio,Eje_adic_2,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,Latitud,Longitud,Departamento,gcd_departamento
114,8002,EL DIFICIL,ConcesiOn ANI,9200,11400,24100,34100,36600,0,0,0,0,Plato – Pueblo Nuevo,ConcesiOn (Yuma),9000,8700,AutomOviles y camperos,Camiones y Buses  2 ejes,3 y 4 Ejes,5 Ejes,6 Ejes,,,,,9.831146645,-74.2677507989999,Magdalena,47
115,8002,PUENTE PLATO,ConcesiOn ANI,9200,11400,24100,34100,36600,0,0,0,0,Plato – Pueblo Nuevo,ConcesiOn (Yuma),9000,8700,AutomOviles y camperos,Camiones y Buses 2 ejes,3 y 4 Ejes,5 Ejes,6 Ejes,,,,,9.791365729,-74.8089450709999,Magdalena,47
116,2504,TUNIA,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,PopayAn - JamundI,INVIAS,10000,19800,AutomOviles y camperos,CategorIa II Camiones y buses 2 ejes pequenos,CategorIa III Camiones y buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 ejes,,,,,2.701690113,-76.536811321,Cauca,19
117,2504,VILLARICA,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,PopayAn - JamundI,INVIAS,9600,19000,AutomOviles y camperos,CategorIa II Camiones y buses 2 ejes pequenos,CategorIa III Camiones y buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 ejes,,,,,3.151233082,-76.460031834,Cauca,19
118,8003,VALENCIA,ConcesiOn ANI,8100,9000,19500,25100,28500,0,0,0,0,Pueblo Nuevo – Bosconia – Valledupar,Yuma concecionaria,9000,8700,AutomOviles y camperos,Camiones y buses 2 ejes pequenos,Camiones y buses 2 ejes grandes,3 y 4 Ejes,5 Ejes,,,,,10.259705901,-73.430869544,Cesar,20
119,X16,PALMITAS,ConcesiOn ANI,16200,18300,39900,51900,62100,0,0,0,0,Puente AurrA - MedellIn,DESARROLLO VIAL AL MAR SAS,6300,0,,,,,,,,,,6.326315113,-75.688606561,Antioquia, 5
120,X16,SAN CRISTOBAL,ConcesiOn ANI,16200,18300,39900,51900,62100,0,0,0,0,Puente AurrA - MedellIn,DESARROLLO VIAL AL MAR SAS,6300,0,AutomOviles y camperos,Camiones y Buses 2 Ejes pequenos,Camiones y Buses 2 Ejes grandes,3 y 4 ejes,5 ejes,,,,,6.29706501,-75.6540489599999,Antioquia, 5
121,X16,EBEJICO,Departamento,7700,9200,19300,23700,26700,0,0,0,0,Puente AurrA - MedellIn (VIa Antigua al Mar),,0,0,,,,,,,,,,6.338603341,-75.671344536,Antioquia, 5
122,2501,EL PLACER,ConcesiOn ANI,9900,10400,22100,28800,33200,0,0,0,0,Puente Internacional Rumichaca - San Juan de Pasto,Concesionaria VIal UnIon del Sur,0,0,AutomOviles y camperos,Camiones y buses 2 ejes pequenos,Camiones y buses 2 ejes grandes,3 y 4 ejes,5 ejes,,,,,1.087284102,-77.4086552039999,Narino,52
123,45A06,OIBA,INVIAS,8200,8900,22900,28500,33300,0,0,0,0,Puente Nacional - San Gil,Invias,9500,9300,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos.,Camiones y Buses 2 ejes Grandes.,3 y 4 ejes.,5 ejes.,,,,,6.178236419,-73.333289569,Santander,68
124,2515,EL CARMEN,ConcesiOn ANI,8800,9600,20100,25600,28800,0,0,0,0,Puerta de Hierro - Carreto,Autopista de la sabana,8700,8400,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,,,,,9.681300323,-75.125421059,BolIvar,13
125,4008,CASETABLA,ConcesiOn ANI,4400,4800,4800,4800,19700,25000,28100,0,0,Puerto LOpez - Puerto GaitAn,ConcesiOn Coviandes,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,CAT VI,CAT VII,,,4.112654617,-72.83478884,Meta,50
126,4008,El YUCAO,ConcesiOn ANI,4400,4800,4800,4800,19700,25000,28100,0,0,Puerto LOpez - Puerto GaitAn,Invias,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,CAT VI,CAT VII,,,4.351317469,-72.169253303,Meta,50
127,7401,LOS CEDROS,ConcesiOn ANI,12600,18600,18600,18600,33600,53600,61800,0,0,Puerto Rey - Monteria,VIas las Americas S.A.S,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,CategorIa VI,CategorIa VII,,,8.819768367,-75.9988980119999,COrdoba,23
128,4511,AGUAS NEGRAS,INVIAS,10500,13300,31200,37400,43900,0,0,0,0,RIo Ermitano - La Lizama,Concesionaria Ruta Del Sol,9500,9300,AutomOviles y camperos,Camiones y Buses 2 ejes.,3 ejes.,4 ejes.,5 ejes.,,,,,6.645326476,-73.952462155,Santander,68
129,4511,ZAMBITO,INVIAS,10500,13300,31200,37400,43900,0,0,0,0,RIo Ermitano - La Lizama,Concesionaria Ruta Del Sol,9500,9300,AutomOviles y camperos,Camiones y Buses 2 ejes.,3 ejes.,4 ejes.,5 ejes,,,,,6.294713993,-74.456991837,Santander,68
130,45A08,RIO BLANCO,INVIAS,8500,9300,19500,24800,27900,0,0,0,0,RIo Negro - San Alberto,INVIAS,8400,8100,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos.,Camiones y Buses 2 Ejes Grandes.,3 y 4 ejes.,5 ejes.,,,,,7.554331287,-73.23110812,Santander,68
131,9009,EL EBANAL,ConcesiOn ANI,9600,14800,11900,18900,27700,44700,56400,0,0,RIo Palomino - Riohacha,ConcesiOn  Santa Marta - ParaguachOn S.A .,0,0,AutomOviles y camperos,Buses y Busetas 2 ejes Pequenos,Camiones 350,Camiones 600,3 a 4 Ejes,5 Ejes,6 a mas ejes,,,11.276216625,-73.1221077809999,La Guajira,44
"132,4902,SAN JUAN,INVIAS,9300,9900,10800,11500,12400,35600,40800,0,0,RIo Pereira - Buenavista,INVIAS,0,0,""AutomOviles, camperos y camionetas"",Buses,Camiones pequenos de 2 ejes,Camiones grandes de 2 ejes,Camiones de 3 ejes,Camiones de 4 ejes,Camiones de 5 ejes,,,10.8000159329999,-72.9755403249999,La Guajira,44"
133,9010,ALTO PINO,ConcesiOn ANI,9600,14800,11900,18900,27700,44700,56400,0,0,Riohacha - ParaguachOn,ConcesiOn  Santa Marta ParaguachOn S.A,0,0,AutomOviles y camperos,Buses y Busetas 2 ejes pequenos,Camiones 350,Camiones 600,3 a 4 Ejes,5 Ejes,6 a mas ejes,,,11.444873653,-72.5423520589999,La Guajira,44
134,9010,PARAGUACHON,ConcesiOn ANI,9600,14800,11900,18900,27700,44700,56400,0,0,Riohacha - ParaguachOn,ConcesiOn  Santa Marta ParaguachOn S.A.,0,0,AutomOviles y camperos,CategorIa II Buses y Busetas 2 ejes Pequenos,Camiones 350,Camiones 600,3 a 4 ejes,5 ejes,6 a mas ejes,,,11.3676031319999,-72.156672665,La Guajira,44
135,9006,BAYUNCA,ConcesiOn ANI,8000,8900,19800,26400,30200,0,0,0,0,Sabanalarga - Barranquilla,Autopistas del sol,8700,8400,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes,,,,,10.546969409,-75.36516595,BolIvar,13
136,9006,GALAPA,ConcesiOn ANI,8500,9200,19700,25300,28500,0,0,0,0,Sabanalarga - Barranquilla,Autopista del Sol,9000,8700,AutomOviles y camperos,Camiones y buses de 2 ejes Pequenos,Camiones y buses de 2 ejes Grandes,3 y 4 Ejes,5 ejes,,,,,10.837544866,-74.902127703,AtlAntico, 8
137,6008,SACHICA,INVIAS,8300,9000,19200,24400,27400,0,0,0,0,SAchica - Tunja,INVIAS,8400,8100,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,5.58495821,-73.530270372,BoyacA,15
138,4514,MORRISON,INVIAS,9400,10300,21400,27400,31200,0,0,0,0,San Alberto - La Mata,ConcesiOn ruta el sol,9500,9300,AutomOviles y camperos,Camiones y buses de 2 ejes,3 Ejes,4 Ejes,5 Ejes,,,,,8.09234872999999,-73.5600149219999,Cesar,20
139,45A07,LOS CUROS,INVIAS,8200,8900,22900,28500,33300,0,0,0,0,San Gil - Bucaramanga,Invias,9500,9300,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos.,Camiones y Buses 2 ejes Grandes.,3 y 4 ejes.,5 ejes.,,,,,6.825634367,-72.9994818689999,Santander,68
140,45A07,SAN GIL - CURITI,INVIAS,8200,8900,22900,28500,33300,0,0,0,0,San Gil - Bucaramanga,,9500,9300,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos.,Camiones y Buses 2 ejes Grandes.,3 y 4 ejes.,5 ejes.,,,,,6.617696089,-73.0803086669999,Santander,68
141,2502,CANO,INVIAS,10000,10700,0,0,0,0,0,0,0,San Juan de Pasto - Cano,INVIAS,9400,9100,AutomOviles y camperos,CategorIa II Camiones y buses 2 ejes pequenos,,,,,,,,1.425456082,-77.2844524359999,Narino,52
142,2502,DAZA,INVIAS,0,0,22200,29100,33600,0,0,0,0,San Juan de Pasto - Cano,INVIAS,9400,9100,,,CategorIa III Camiones y buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 ejes,,,,,1.282159377,-77.269496511,Narino,52
143,9005,SAN ONOFRE,ConcesiOn ANI,12600,18600,18600,18600,33600,53600,61800,0,0,San Onofre - MarIa La Baja,ConcesiOn Ruta al Mar,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,CategorIa  IV,CategorIa  V,CategorIa  VI,CategorIa  VII,,,9.863519254,-75.39905269,Sucre,70
144,4516,LA LOMA,ConcesiOn ANI,8100,9000,19500,25100,28500,0,0,0,0,San Roque - Bosconia,ConcesiOn Yuma,9000,8700,AutomOviles y camperos,Camiones y buses 2 ejes pequenos,Camiones y buses 2 ejes grandes,3 y 4 Ejes,5 Ejes,,,,,9.638016517,-73.639398377,Cesar,20
"145,4901,RINCON HONDO,INVIAS,9300,9900,10800,11500,12400,35600,40800,0,0,San Roque - La Paz,INVIAS,0,0,""AutomOviles, camperos y camionetas"",Buses,Camiones pequenos de 2 ejes,Camiones grandes de 2 ejes,Camiones de 3 ejes,Camiones de 4 ejes,Camiones de 5 ejes,,,9.431032001,-73.4735521479999,Cesar,20"
"146,4901,SAN DIEGO,INVIAS,4600,5000,5500,5900,12300,35600,40500,0,0,San Roque - La Paz,INVIAS,0,0,""AutomOviles, camperos y camionetas"",Buses,Camiones pequenos de 2 ejes,Camiones grandes de 2 ejes,Camiones de 3 ejes,Camiones de 4 ejes,Camiones de 5 ejes,,,10.121725825,-73.238637775,Cesar,20"
147,9008,NENGUANJE,ConcesiOn ANI,9600,14800,11900,18900,27700,44700,56400,0,0,Santa Marta - RIo Palomino,ConcesiOn Santa Marta - ParaguachOn S.A.,0,0,AutomOviles y camperos,Buses y Busetas 2 ejes,Camiones 350 2 ejes Dobles,Camiones 600 2 ejes Dobles,3 a 4 Ejes,5 Ejes,6 a mas ejes,,,11.2531293629999,-74.109282464,Magdalena,47
"148,6005,COCORNA,INVIAS,12100,19100,16700,20800,41600,59300,59300,0,0,Santuario - Cruce Ruta 45 (Cano Alegre),,0,0,""AutomOviles, camperos y camionetas"",CategorIa II Buses,CategorIa III - Camiones pequenos de 2 ejes,CategorIa III - Camiones grandes de 2 ejes,CategorIa V - Camiones de 3 y 4 ejes,CategorIa VI - Camiones de 5 ejes,CategorIa VII - Camiones de 6 ejes,,,6.124607098,-75.243039628,Antioquia, 5"
149,6005,PUERTO TRIUNFO,INVIAS,12100,19100,16700,20800,41600,59300,59300,0,0,Santuario - Cruce Ruta 45 (Cano Alegre),,0,0,AutomOviles y camperos,CategorIa II,CategorIa III,CategorIa IV,CategorIa V,CategorIa VI,CategorIa VII,,,5.872598914,-74.611395406,BoyacA,15
150,X17,JALISCO,Departamento,12400,16800,14100,19600,35300,45700,55000,0,0,Sasaima - AlbAn,CONCESION PANAMERICANA,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI6 Ejes,CategorIa VII,,,4.901355703,-74.426167866,Cundinamarca,25
151,2515,LAS FLORES,ConcesiOn ANI,4500,12000,18600,23600,27100,0,0,0,0,Sincelejo - Puerta de Hierro,ConcesiOn Autopistas de la Sabana COrdoba - Sucre,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,Camiones y Buses 2 ejes Grandes,Camiones y Buses 2 ejes Grandes,,,,,9.318846937,-75.319953823,Sucre,70
152,25SC01,LA ESPERANZA,ConcesiOn ANI,8200,8900,19200,24300,27400,0,0,0,0,Sincelejo - Toluviejo,ConcesiOn Autopistas de la Sabana COrdoba - Sucre,8700,8400,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,Camiones y Buses 2 ejes Grandes,Camiones y Buses 2 ejes Grandes,,,,,9.430745196,-75.435949553,Sucre,70
153,6211,EL CRUCERO,INVIAS,8300,9000,19200,24400,27400,0,0,0,0,Sogamoso - El Crucero,INVIAS,8400,8100,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,5.65701412,-72.926973046,BoyacA,15
154,2512,TARAZA,INVIAS,8500,9300,19500,24800,27900,0,0,0,0,TarazA - Caucasia,INVIAS,8400,8100,,,,,,,,,,7.5892704,-75.393525193,Antioquia, 5
"155,4509,CAMBAO,ConcesiOn ANI,9900,14000,19200,25700,36400,59000,67400,0,0,Tramo que cubre desde Flandes hasta Puerto Salgar,ConcesiOn Alto Magdalena,0,0,""AutomOviles, camperos y camionetas"",""Buses, busetas, microbuses"",Camiones pequenos de 2 Ejes,Camiones grandes de 2 Ejes,Camiones de 3 y 4 Ejes,Camiones de 5 Ejes,Camiones de 6 o mas Ejes,,,5.09244884,-74.703815539,Cundinamarca,25"
"156,4508,GUATAQUI,ConcesiOn ANI,9700,14000,19200,25700,36400,59000,67400,0,0,Tramo que cubre la via GuataquI - Cambao - Honda,ConcesiOn Alto Magdalena,0,0,""AutomOviles, camperos y camionetas"",""Buses, busetas, microbuses"",Camiones pequenos 2 Ejes,Camiones Grandes de 2 ejes,Camiones de 3 y 4 Ejes,Camiones de 5 Ejes,Camiones 6 Ejes o MAs,,,4.528736858,-74.789048928,Cundinamarca,25"
157,X18,QUIEBRA DE VELEZ,Departamento,3100,9600,0,33000,37600,0,0,0,0,Tres Puertas - Quiebra de VElez - Manizales,,0,0,,,,,,,,,,5.094251146,-75.5553744679999,Caldas,17
158,5005,SAN BERNARDO (TRINIDAD ll),ConcesiOn ANI,10400,12600,12600,12600,30700,38400,44600,0,0,Tres Puertas -La Manuela - EstaciOn Uribe,CONCESION AUTOPISTAS DEL CAFE,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 Ejes,CategorIa V 5 Ejes,CategorIa 6 Ejes,CategorI VII,,,5.052205665,-75.594581144,Caldas,17
159,5502,TUTA,ConcesiOn ANI,8000,8900,23000,28500,33500,0,0,0,0,Tunja - Duitama,ConcesiOn Briceno - Tunja - Sogamoso,8200,6800,AutomOviles y camperos,Camiones y buses 2 ejes pequenos,Camiones y buses 2 ejes grandes,3 y 4 ejes,5 ejes,,,,,5.6568966,-73.278439078,BoyacA,15
160,45A05,SABOYA,INVIAS,8200,8900,22900,28500,33300,0,0,0,0,UbatE - Puente Nacional,INVIAS,9500,9300,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4,5 ejes,,,,,5.727864796,-73.7446658789999,BoyacA,15
161,4004B,CHICORAL,ConcesiOn ANI,10800,11800,10800,14100,28400,38000,41800,0,0,Variante Chicoral,Concesionaria San Rafael  S.A.,9700,9500,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.245525822,-74.8804843679999,Tolima,73
162,90BLB,PASACABALLOS,ConcesiOn ANI,8100,8800,18700,24400,28300,28300,28300,0,0,Variante de Gambote,AUTOPISTAS DEL SOL S.A.,0,0,,,,,,,,,,10.243425366,-75.4439447569999,BolIvar,13
163,X19,LA HEROICA,Distrito,2900,4600,8200,10700,16400,0,0,0,0,Variante Mamonal - Gambote,CONVIAL,0,0,Livianos y automOviles,CategorIa II Buses y Busetas,CategorIa III Camiones de 2 Ejes,CategorIa IV Camiones de,CategorIa V Camiones de mAs de 5 Ejes,,,,,10.342343514,-75.4906211419999,BolIvar,13
164,X20,RAMAL,Departamento,11200,13500,13500,15600,44800,61600,70300,0,0,Variante Soacha - La Mesa,CONCESION DEVISAB,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.627331188,-74.2899754289999,Cundinamarca,25
165,90BLB,CORRALITO DE PIEDRA,Distrito,7900,8500,18100,23700,27400,27400,27400,0,0,VIa a BarU,CONVIAL,0,0,,,,,,,,,,10.309658711,-75.4850867849999,BolIvar,13
"166,X21,SANTA ELENA,Departamento,10000,12100,22100,24900,27500,0,0,0,0,VIa Antigua a Rionegro,ConcesiOn TUnel AburrA - Oriente  S.A,12900,0,""AutomOviles, camperos y camionetas"",Buses,Camiones pequenos de 2 Ejes,Camiones grandes de 2 Ejes,Camiones de 3 y 4 ejes,,,,,6.179659296,-75.461356996,Antioquia, 5"
167,4007,LA LIBERTAD,ConcesiOn ANI,12700,25300,18300,30500,45400,59800,68500,0,0,Villavicencio - Paso por el Puente sobre el RIo La Balsa -Puerto Lopez,ConcesiOn Autopistas de los Llanos,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 Ejes,5 Ejes,6 Ejes,CAT VII,,,4.056859962,-73.4639829399999,Meta,50
"168,5008,CAIQUEROS,ConcesiOn ANI,9300,12100,30000,36100,41500,0,0,0,0,Villeta - BogotA,CONCESION SABANA DE OCCIDENTE,9300,8900,""AutomOviles, camperos y camionetas"",VehIculos de 2 ejes,CategorIa III Camiones de 3 y 5 ejes,CategorIa IV Camiones de 5 ejes,CategorIa V Camiones de 6 ejes o mAs,,,,,5.065469603,-74.414294693,Cundinamarca,25"
"169,5008,SIBERIA,ConcesiOn ANI,10000,14300,12000,16000,28100,37700,41400,5200,7200,Villeta - BogotA,CONCESION SABANA DE OCCIDENTE,0,0,""AutomOviles, camperos y camionetas"",CategorIa II Buses y Busetas,CategorIa III Camiones pequenos 2 ejes,CategorIa IV Camiones grandes 2 ejes,CategorIa V Camiones de 3 y 4 ejes,CategorIa VI Camiones de 5 ejes,CategorIa VII Camiones de 6 o mAs ejes,""CategorIa VIII Autos, Camionetas y Camperos (S. Publico)"",CategorIa IX Buses/Busetas (S. publico),4.780359837,-74.185047772,Cundinamarca,25"
"170,6509,IRACA,ConcesiOn ANI,9700,19400,13300,23300,34600,46000,50000,0,0,Ye de Granada - Paso por el Puente sobre el RIo Ocoa,ConcesiOn Autopistas de los Llanos,0,0,""AutomOviles, camperos y camionetas"",Camiones y Buses con eje trasero doble llanta,Camiones de 3 y 4 ejes,Camiones de 5 ejes,Tracto Camiones,6 Ejes,,,,3.633042757,-73.7064001079999,Meta,50"
"171,6509,OCOA,ConcesiOn ANI,9700,19400,13300,23300,34600,46000,50000,0,0,Ye de Granada - Paso por el Puente sobre el RIo Ocoa,ConcesiOn Autopistas de Los Llanos,0,0,""AutomOviles, camperos y camionetas"",Camiones y Buses con eje trasero doble llanta,Camiones de 3 y 4 ejes,Camiones de 5 ejes,Tracto camiones,6 Ejes,CAT VIII,,,4.026246301,-73.7752049959999,Meta,50"
172,6513,ARANGUANEY,INVIAS,7500,8100,17200,21800,24500,0,0,0,0,Yopal   -  Paz de Ariporo,INVIAS,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,5.410988727,-72.305021639,Casanare,85
173,2301,MEDIACANOA,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,Yumbo - Mediacanoa,INVIAS,10000,19800,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,3.759985933,-76.411386295,Valle del Cauca,76
